"term_id","termino","area","definicion_corta","definicion_tecnica","ejemplo","no_confundir_con","relaciones","nivel_confianza","fuentes","version","fecha_revision"
"PSY-00001","Depresión mayor","Psicología Clínica","Trastorno del estado de ánimo con tristeza persistente y pérdida de interés","Desde la perspectiva clínica, trastorno del estado de ánimo con tristeza persistente y pérdida de interés. Relevante para depresión mayor en psicología clínica.","Un paciente presenta depresión mayor y requiere evaluación clínica para diagnóstico y tratamiento.","","","alto","APA (2022). DSM-5-TR.; Beck (2011). Cognitive Therapy.","2.0.0","2026-03-29"
"PSY-00002","Trastorno de ansiedad generalizada","Psicología Clínica","Preocupación excesiva y difícil de controlar sobre múltiples aspectos","Desde la perspectiva clínica, preocupación excesiva y difícil de controlar sobre múltiples aspectos. Relevante para trastorno de ansiedad generalizada en psicología clínica.","Un paciente presenta trastorno de ansiedad generalizada y requiere evaluación clínica para diagnóstico y tratamiento.","","","alto","APA (2022). DSM-5-TR.; Beck (2011). Cognitive Therapy.","2.0.0","2026-03-29"
"PSY-00003","Trastorno obsesivo compulsivo","Psicología Clínica","Obsesiones recurrentes y compulsiones que consumen tiempo significativo","Desde la perspectiva clínica, obsesiones recurrentes y compulsiones que consumen tiempo significativo. Relevante para trastorno obsesivo compulsivo en psicología clínica.","Un paciente presenta trastorno obsesivo compulsivo y requiere evaluación clínica para diagnóstico y tratamiento.","","","alto","APA (2022). DSM-5-TR.; Beck (2011). Cognitive Therapy.","2.0.0","2026-03-29"
"PSY-00004","Esquizofrenia","Psicología Clínica","Trastorno psicótico crónico con delirios, alucinaciones y disfunción","Desde la perspectiva clínica, trastorno psicótico crónico con delirios, alucinaciones y disfunción. Relevante para esquizofrenia en psicología clínica.","Un paciente presenta esquizofrenia y requiere evaluación clínica para diagnóstico y tratamiento.","","","alto","APA (2022). DSM-5-TR.; Beck (2011). Cognitive Therapy.","2.0.0","2026-03-29"
"PSY-00005","Trastorno bipolar tipo I","Psicología Clínica","Trastorno del ánimo con al menos un episodio maníaco completo","Desde la perspectiva clínica, trastorno del ánimo con al menos un episodio maníaco completo. Relevante para trastorno bipolar tipo i en psicología clínica.","Un paciente presenta trastorno bipolar tipo i y requiere evaluación clínica para diagnóstico y tratamiento.","","","alto","APA (2022). DSM-5-TR.; Beck (2011). Cognitive Therapy.","2.0.0","2026-03-29"
"PSY-00006","Trastorno bipolar tipo II","Psicología Clínica","Trastorno del ánimo con hipomanía y episodios depresivos mayores","Desde la perspectiva clínica, trastorno del ánimo con hipomanía y episodios depresivos mayores. Relevante para trastorno bipolar tipo ii en psicología clínica.","Un paciente presenta trastorno bipolar tipo ii y requiere evaluación clínica para diagnóstico y tratamiento.","","","alto","APA (2022). DSM-5-TR.; Beck (2011). Cognitive Therapy.","2.0.0","2026-03-29"
"PSY-00007","Trastorno de pánico","Psicología Clínica","Ataques de pánico recurrentes e inesperados con preocupación persistente","Desde la perspectiva clínica, ataques de pánico recurrentes e inesperados con preocupación persistente. Relevante para trastorno de pánico en psicología clínica.","Un paciente presenta trastorno de pánico y requiere evaluación clínica para diagnóstico y tratamiento.","","","alto","APA (2022). DSM-5-TR.; Beck (2011). Cognitive Therapy.","2.0.0","2026-03-29"
"PSY-00008","Agorafobia","Psicología Clínica","Miedo intenso a situaciones donde escapar sería difícil","Desde la perspectiva clínica, miedo intenso a situaciones donde escapar sería difícil. Relevante para agorafobia en psicología clínica.","Un paciente presenta agorafobia y requiere evaluación clínica para diagnóstico y tratamiento.","","","alto","APA (2022). DSM-5-TR.; Beck (2011). Cognitive Therapy.","2.0.0","2026-03-29"
"PSY-00009","Fobia específica","Psicología Clínica","Miedo intenso y desproporcionado a un objeto o situación concreta","Desde la perspectiva clínica, miedo intenso y desproporcionado a un objeto o situación concreta. Relevante para fobia específica en psicología clínica.","Un paciente presenta fobia específica y requiere evaluación clínica para diagnóstico y tratamiento.","","","alto","APA (2022). DSM-5-TR.; Beck (2011). Cognitive Therapy.","2.0.0","2026-03-29"
"PSY-00010","Ansiedad social","Psicología Clínica","Miedo intenso y persistente a situaciones sociales evaluativas","Desde la perspectiva clínica, miedo intenso y persistente a situaciones sociales evaluativas. Relevante para ansiedad social en psicología clínica.","Un paciente presenta ansiedad social y requiere evaluación clínica para diagnóstico y tratamiento.","","","alto","APA (2022). DSM-5-TR.; Beck (2011). Cognitive Therapy.","2.0.0","2026-03-29"
